Time,Value
0.692,0.248691
0.693,0.218143
0.694,0.187381
0.695,0.156435
0.696,0.125334
0.697,0.0941075
0.698,0.0627901
0.699,0.0314107
0.7,3.74507e-07
0.701,-0.03141
0.702,-0.0627912
0.703,-0.0941086
0.704,-0.125333
0.705,-0.156434
0.706,-0.18738
0.707,-0.218144
0.708,-0.24869
0.709,-0.278991
0.71,-0.309016
0.711,-0.338739
0.712,-0.368125
0.713,-0.397148
0.714,-0.425779
0.715,-0.45399
0.716,-0.481754
0.717,-0.509042
0.718,-0.535827
0.719,-0.562083
0.72,-0.587786
0.721,-0.612907
0.722,-0.637424
0.723,-0.661312
0.724,-0.684547
0.725,-0.707107
0.726,-0.728969
0.727,-0.750111
0.728,-0.770513
0.729,-0.790154
0.73,-0.809017
0.731,-0.827081
0.732,-0.844328
0.733,-0.860742
0.734,-0.876307
0.735,-0.891007
0.736,-0.904827
0.737,-0.917754
0.738,-0.929776
0.739,-0.940881
0.74,-0.951057
0.741,-0.960294
0.742,-0.968583
0.743,-0.975917
0.744,-0.982287
0.745,-0.987688
0.746,-0.992115
0.747,-0.995562
0.748,-0.998027
0.749,-0.999507
0.75,-1
0.751,-0.999507
0.752,-0.998027
0.753,-0.995562
0.754,-0.992115
0.755,-0.987688
0.756,-0.982287
0.757,-0.975917
0.758,-0.968583
0.759,-0.960294
0.76,-0.951057
0.761,-0.940881
0.762,-0.929776
0.763,-0.917754
0.764,-0.904827
0.765,-0.891007
0.766,-0.876307
0.767,-0.860742
0.768,-0.844328
0.769,-0.827081
0.77,-0.809017
0.771,-0.790154
0.772,-0.770513
0.773,-0.750111
0.774,-0.728969
0.775,-0.707107
0.776,-0.684547
0.777,-0.661312
0.778,-0.637424
0.779,-0.612907
0.78,-0.587786
0.781,-0.562083
0.782,-0.535827
0.783,-0.509042
0.784,-0.481754
0.785,-0.45399
0.786,-0.425779
0.787,-0.397148
0.788,-0.368125
0.789,-0.338739
0.79,-0.309016
0.791,-0.278991
0.792,-0.24869
0.793,-0.218144
0.794,-0.18738
0.795,-0.156434
0.796,-0.125333
0.797,-0.0941086
0.798,-0.0627912
